1:女性資本主義論,9784344970380,高橋仁,幻冬舎,1512
2:AKB総選挙公式ガイドブック2014(講談社Mook),9784063898323,FRIDAY編集部,講談社,1000
3:僕は友達が少ない10(MF文庫J),9784040663920,平坂読,KADOKAWA/メディアファクトリー,626
